[2025-04-27 14:45:16.749695] | No suspicious object | ALERT: NO
[2025-04-27 14:45:18.750313] | No suspicious object | ALERT: NO
[2025-04-27 14:45:20.751947] | No suspicious object | ALERT: NO
[2025-04-27 14:45:22.763461] | No suspicious object | ALERT: NO
[2025-04-27 14:45:25.736094] | No suspicious object | ALERT: NO
[2025-04-27 14:45:27.741382] | No suspicious object | ALERT: NO
[2025-04-27 14:45:29.742178] | No suspicious object | ALERT: NO
[2025-04-27 14:45:31.743472] | No suspicious object | ALERT: NO
[2025-04-27 14:45:33.747720] | No suspicious object | ALERT: NO
[2025-04-27 14:45:34.759811] | No suspicious object | ALERT: NO
[2025-04-27 14:45:36.755607] | No suspicious object | ALERT: NO
[2025-04-27 14:45:38.746718] | No suspicious object | ALERT: NO
[2025-04-27 14:45:40.743106] | No suspicious object | ALERT: NO
[2025-04-27 14:45:43.737840] | No suspicious object | ALERT: NO
[2025-04-27 14:45:45.742430] | No suspicious object | ALERT: NO
[2025-04-27 14:45:46.753735] | No suspicious object | ALERT: NO
[2025-04-27 14:45:48.747421] | No suspicious object | ALERT: NO
[2025-04-27 14:45:50.747554] | No suspicious object | ALERT: NO
[2025-04-27 14:45:52.757436] | No suspicious object | ALERT: NO
[2025-04-27 14:47:16.876382] | No suspicious object | ALERT: NO
[2025-04-27 14:47:18.875116] | No suspicious object | ALERT: NO
[2025-04-27 14:47:21.816116] | No suspicious object | ALERT: NO
[2025-04-27 14:47:22.871612] | No suspicious object | ALERT: NO
[2025-04-27 14:47:23.568334] | Pistol | ALERT: YES
[2025-04-27 14:47:25.606264] | No suspicious object | ALERT: NO
[2025-04-27 14:47:27.602528] | No suspicious object | ALERT: NO
[2025-04-27 14:47:29.603856] | No suspicious object | ALERT: NO
[2025-04-27 14:47:31.606840] | No suspicious object | ALERT: NO
[2025-04-27 14:47:33.616712] | No suspicious object | ALERT: NO
[2025-04-27 14:47:35.609148] | No suspicious object | ALERT: NO
[2025-04-27 14:47:37.610333] | No suspicious object | ALERT: NO
[2025-04-27 14:47:39.604226] | No suspicious object | ALERT: NO
[2025-04-27 14:47:41.602361] | No suspicious object | ALERT: NO
[2025-04-27 14:47:43.606328] | No suspicious object | ALERT: NO
[2025-04-27 14:47:45.606742] | No suspicious object | ALERT: NO
[2025-04-27 14:47:47.599826] | No suspicious object | ALERT: NO
[2025-04-27 14:47:49.605135] | No suspicious object | ALERT: NO
[2025-04-27 14:47:51.600934] | No suspicious object | ALERT: NO
[2025-04-27 14:47:53.604897] | No suspicious object | ALERT: NO
[2025-04-27 14:47:55.607679] | No suspicious object | ALERT: NO
[2025-04-27 14:51:41.919588] | No suspicious object | ALERT: NO
[2025-04-27 14:51:43.923320] | No suspicious object | ALERT: NO
[2025-04-27 14:51:45.923057] | No suspicious object | ALERT: NO
[2025-04-27 14:51:47.920589] | No suspicious object | ALERT: NO
[2025-04-27 14:51:49.997960] | No suspicious object | ALERT: NO
[2025-04-27 14:51:51.931080] | No suspicious object | ALERT: NO
[2025-04-27 14:51:53.848880] | No suspicious object | ALERT: NO
[2025-04-27 14:51:55.893420] | No suspicious object | ALERT: NO
[2025-04-27 14:51:57.896237] | No suspicious object | ALERT: NO
[2025-04-27 14:51:59.899124] | No suspicious object | ALERT: NO
[2025-04-27 14:52:01.899179] | No suspicious object | ALERT: NO
[2025-04-27 14:52:03.896274] | No suspicious object | ALERT: NO
[2025-04-27 14:52:05.895324] | No suspicious object | ALERT: NO
[2025-04-27 14:52:07.899851] | No suspicious object | ALERT: NO
[2025-04-27 14:52:09.900909] | No suspicious object | ALERT: NO
[2025-04-27 14:52:11.909975] | No suspicious object | ALERT: NO
[2025-04-27 14:52:13.905527] | No suspicious object | ALERT: NO
[2025-04-27 14:52:15.901980] | No suspicious object | ALERT: NO
[2025-04-27 14:52:17.896820] | No suspicious object | ALERT: NO
[2025-04-27 14:52:20.451732] | No suspicious object | ALERT: NO
[2025-04-27 14:52:22.446311] | No suspicious object | ALERT: NO
[2025-04-27 14:52:23.305215] | Pistol | ALERT: YES
[2025-04-27 14:52:25.340495] | No suspicious object | ALERT: NO
[2025-04-27 14:52:27.339577] | No suspicious object | ALERT: NO
[2025-04-27 14:52:29.341177] | No suspicious object | ALERT: NO
[2025-04-27 14:52:31.336520] | No suspicious object | ALERT: NO
[2025-04-27 14:52:33.337650] | No suspicious object | ALERT: NO
[2025-04-27 14:52:35.338930] | No suspicious object | ALERT: NO
[2025-04-27 14:52:36.395325] | Pistol | ALERT: YES
